formula,count_regular,percent_regular,os,n_days,count_on_request,percent_on_request,pct_on_request
jadx,2721,0.01,macos,30,2689,0.03,98.8239617787578
lynx,2720,0.01,macos,30,2688,0.03,98.82352941176471
mad,2708,0.01,macos,30,167,0.0,6.166912850812407
exolnet/deprecated/php@7.1,2698,0.01,macos,30,2693,0.03,99.81467753891772
glpk,2696,0.01,macos,30,421,0.0,15.615727002967358
helm@2,2689,0.01,macos,30,2673,0.03,99.40498326515433
gedit,2666,0.01,macos,30,2634,0.03,98.79969992498124
libsmi,2666,0.01,macos,30,72,0.0,2.700675168792198
kafkacat,2657,0.01,macos,30,2650,0.03,99.73654497553632
testdisk,2657,0.01,macos,30,2649,0.03,99.69890854347008
exolnet/deprecated/php@5.6,2648,0.01,macos,30,2642,0.03,99.77341389728097
libxft,2632,0.01,macos,30,26,0.0,0.9878419452887538
source-highlight,2630,0.01,macos,30,640,0.01,24.334600760456272
yajl,2617,0.01,macos,30,187,0.0,7.145586549484142
gsl,2614,0.01,macos,30,1322,0.02,50.57383320581484
rlwrap,2609,0.01,macos,30,969,0.01,37.14066692219241
nnn,2603,0.01,macos,30,2601,0.03,99.92316557817902
webpack,2598,0.01,macos,30,2583,0.03,99.42263279445727
cloudflare/cloudflare/cloudflared,2593,0.01,macos,30,2588,0.03,99.80717315850366
ios-webkit-debug-proxy,2588,0.01,macos,30,2579,0.03,99.65224111282845
ctags,2586,0.01,macos,30,2364,0.03,91.415313225058
nodenv,2584,0.01,macos,30,2567,0.03,99.3421052631579
shfmt,2572,0.01,macos,30,2317,0.03,90.0855365474339
swift-protobuf,2572,0.01,macos,30,2539,0.03,98.71695178849144
faac,2569,0.01,macos,30,186,0.0,7.24017127286882
less,2565,0.01,macos,30,2475,0.03,96.49122807017544
sox,2565,0.01,macos,30,2317,0.03,90.33138401559454
vitorgalvao/tiny-scripts/cask-repair,2557,0.01,macos,30,2544,0.03,99.49159170903403
httrack,2538,0.01,macos,30,2525,0.03,99.48778565799843
libpeas,2535,0.01,macos,30,962,0.01,37.94871794871795
aria2,2525,0.01,macos,30,2442,0.03,96.7128712871287
jack,2525,0.01,macos,30,1765,0.02,69.9009900990099
aws-cdk,2511,0.01,macos,30,2511,0.03,100.0
unzip,2495,0.01,macos,30,1813,0.02,72.66533066132264
moreutils,2479,0.01,macos,30,2451,0.03,98.87051230334812
mingw-w64,2474,0.01,macos,30,2463,0.03,99.55537590945836
k6,2469,0.01,macos,30,2468,0.03,99.95949777237747
arpoison,2458,0.01,macos,30,2457,0.03,99.9593165174939
flyway,2457,0.01,macos,30,2415,0.03,98.29059829059828
itstool,2442,0.01,macos,30,893,0.01,36.56838656838657
syncthing,2423,0.01,macos,30,2354,0.03,97.15229054890632
sdl2_image,2415,0.01,macos,30,1767,0.02,73.16770186335404
awscli@1,2409,0.01,macos,30,2407,0.03,99.91697799916977
goaccess,2392,0.01,macos,30,2346,0.03,98.07692307692307
libusbmuxd --HEAD,2371,0.01,macos,30,2355,0.03,99.32517924926192
minio/stable/mc,2368,0.01,macos,30,2361,0.03,99.7043918918919
shivammathur/php/php,2342,0.01,macos,30,2338,0.03,99.82920580700257
djvulibre,2333,0.01,macos,30,811,0.01,34.7621088726961
gping,2330,0.01,macos,30,2327,0.03,99.87124463519314
procs,2318,0.01,macos,30,2317,0.03,99.95685936151855
weechat,2298,0.01,macos,30,2264,0.03,98.52045256744995
libxdamage,2258,0.01,macos,30,4,0.0,0.1771479185119575
gspell,2250,0.01,macos,30,954,0.01,42.4
kibana,2250,0.01,macos,30,2188,0.03,97.24444444444444
bash-completion@2,2241,0.01,macos,30,2228,0.03,99.41990182954038
git-crypt,2239,0.01,macos,30,2237,0.03,99.91067440821796
libusrsctp,2239,0.01,macos,30,73,0.0,3.260384100044663
taglib,2238,0.01,macos,30,241,0.0,10.768543342269883
